sectionid,quizname,link_cdna
7,Kuis Pemahaman Dasar Perubahan Iklim dan Pembangunan Rendah Karbon,6.2.1 Perencanaan Pembangunan dan Penggunaan Lahan
7,Kuis Pemahaman Dasar Perubahan Iklim dan Pembangunan Rendah Karbon,6.2.2 Permasalahan Lingkungan dan Perubahan Iklim
8,Kuis Pembangunan Rendah Karbon Indonesia,6.2.5 Pembangunan Rendah Karbon Indonesia
12,Kuis PPRKN,6.2.6 Perencanaan Rendah Karbon Nasional
133,Kuis Penilaian Kapasitas Mandiri,6.2.7 Perencanaan Rendah Karbon Daerah
134,Kuis Pengantar PPRK,6.2.7 Perencanaan Rendah Karbon Daerah
135,Kuis Analisis Ekonomi Regional,6.2.8 Analisis ekonomi regional
135,Kuis Analisis Ekonomi Regional,6.3.4 Analisis ekonomi menggunakan Tabel Input-Output
136,Kuis Satelit Energi,6.3.5 Penyusunan data satelit masing-masing sektor
138,Kuis Satelit Lahan,6.3.5 Penyusunan data satelit masing-masing sektor
137,Kuis Satelit Limbah,6.3.5 Penyusunan data satelit masing-masing sektor
142,Kuis Skenario BAU,6.3.6 Penyusunan baseline
143,Kuis Skenario PRK,6.3.7 Identifikasi sumber emisi
143,Kuis Skenario PRK,6.3.8 Penyusunan skenario pembangunan rendah karbon
153,Kuis Analisis Trade-off,6.3.9 Perhitungan dampak kegiatan rendah karbon/mitigasi terhadap emisi
153,Kuis Analisis Trade-off,6.3.10 Penguasaan penggunaan software yang membantu dalam proses perencanaan pembangunan rendah karbon daerah
119,Kuis Kehutanan dan Lahan Gambut,6.3.11 Mengidentifikasi kegiatan mitigasi/rendah karbon
119,Kuis Kehutanan dan Lahan Gambut,6.3.12 Perhitungan emisi GRK
119,Kuis Pertanian,6.3.11 Mengidentifikasi kegiatan mitigasi/rendah karbon
119,Kuis Pertanian,6.3.12 Perhitungan emisi GRK
120,Kuis Energi,6.3.11 Mengidentifikasi kegiatan mitigasi/rendah karbon
120,Kuis Energi,6.3.12 Perhitungan emisi GRK
120,Kuis Transportasi ,6.3.11 Mengidentifikasi kegiatan mitigasi/rendah karbon
120,Kuis Transportasi ,6.3.12 Perhitungan emisi GRK
121,Kuis Aksi PRK Sektor Limbah,6.3.11 Mengidentifikasi kegiatan mitigasi/rendah karbon
121,Kuis Aksi PRK Sektor Limbah,6.3.12 Perhitungan emisi GRK
20,Kuis Pengenalan Aplikasi AKSARA,"6.2.10 Pemantauan, evaluasi dan pelaporan"
21,Kuis Penggunaan AKSARA untuk Kontributor Teknis,6.3.14. Penguasaan penggunaan software yang membantu dalam proses pemantauan
23,Kuis Penggunaan AKSARA untuk Admin,6.3.14. Penguasaan penggunaan software yang membantu dalam proses pemantauan
24,Kuis Penggunaan AKSARA untuk Editor,6.3.14. Penguasaan penggunaan software yang membantu dalam proses pemantauan
