Indikator;Perbaikan
4.1. Penentuan Visi, Misi dan Tujuan;4.1 Kesesuaian visi, misi, dan tujuan organisasi
4.2 Struktur organisasi;4.2 Struktur organisasi
4.3. Proses pengambilan keputusan;4.3 Proses pengambilan keputusan
4.4. Prosedur/Proses Kerja dan Pengelolaan lembaga;4.4 Prosedur/proses kerja dan pengelolaan lembaga
4.5. Budgeting;4.5 Budgeting
4.6. Hubungan Internal;4.6 Hubungan internal
4.7. Networking/Hubungan Eksternal;4.7 Networking/hubungan eksternal
5.1. Teknis;5.1 Ketersediaan SDM teknis
5.2. Mainstreaming;5.2 Ketersediaan SDM untuk proses pengarusutamaan
5.3. Penulisan dan Pelaporan;5.3 Ketersediaan SDM untuk proses penulisan dan pelaporan
5.4. Dinamika Organisasi;5.4 Dinamika organisasi
5.5. Peningkatan kapasitas;5.5 Ada tidaknya program peningkatan kapasitas
8.1. Perangkat Lunak;8.1 Kondisi perangkat lunak
8.2. Perangkat Keras;8.2 Kondisi perangkat keras
8.3. Perangkat Jaringan;8.3 Kondisi perangkat jaringan
